X,Y,SUBTYPE
-121.8231795,37.1987281,CHRISTIAN
-122.0314781,37.3245441,CHRISTIAN
-122.1566156,37.44504,CHRISTIAN
-121.9432002,37.34834,CHRISTIAN
-122.0505672,37.380805,CHRISTIAN
-123.0940185,44.0086238,CHRISTIAN
-123.0029815,44.0514439,CHRISTIAN
-121.4917292,38.578947,CHRISTIAN
-121.4709237,38.5549836,CHRISTIAN
-121.4917322,38.5789473,CHRISTIAN
-121.4693767,38.5183622,CHRISTIAN
-122.1685644,37.7425494,CHRISTIAN
-122.2686605,37.8300868,CHRISTIAN
-122.3602325,37.9337935,CHRISTIAN
-122.1600996,37.7236688,CHRISTIAN
-122.0820107,37.9171003,CHRISTIAN
-122.4274263,37.7889477,CHRISTIAN
-122.4067489,37.7256547,CHRISTIAN
-122.4983319,37.7393834,CHRISTIAN
-122.412356,37.7975265,CHRISTIAN
-122.4271986,37.7340982,CHRISTIAN
-122.482822,37.7806244,CHRISTIAN
-122.4272951,37.7442513,CHRISTIAN
-122.3971762,37.7615547,CHRISTIAN
-121.8079016,37.2603349,CHRISTIAN
-122.4077226,37.7990461,CHRISTIAN
-122.2682139,37.8547955,CHRISTIAN
-122.2648966,37.822493,CHRISTIAN
-122.1800303,37.7642607,CHRISTIAN
-122.0193886,37.604333,CHRISTIAN
-121.992201,37.8069766,CHRISTIAN
-121.4575679,38.5447445,CHRISTIAN
-121.9046121,37.2585544,CHRISTIAN
-122.3995099,37.7320889,CHRISTIAN
-121.8830373,37.3419186,CHRISTIAN
-123.0717988,44.0394605,CHRISTIAN
-123.0926491,44.0197301,CHRISTIAN
-121.8142778,38.0116856,CHRISTIAN
-121.9213678,37.3365444,CHRISTIAN
-122.2675356,37.8691926,CHRISTIAN
-122.4526346,38.291734,CHRISTIAN
-121.4898044,38.5599765,CHRISTIAN
-122.5484069,37.9552166,CHRISTIAN
-121.8744714,37.6682625,CHRISTIAN
-122.2123681,38.1116004,CHRISTIAN
-124.2207011,43.3555628,CHRISTIAN
-122.2747477,37.8264662,CHRISTIAN
-122.2440331,38.1016291,CHRISTIAN
-121.4678403,38.5414929,CHRISTIAN
-122.3212344,37.9152075,CHRISTIAN
-122.2440644,37.8201463,CHRISTIAN
-123.2655116,44.553116,CHRISTIAN
-122.069584,37.913306,CHRISTIAN
-122.8538272,42.3349297,CHRISTIAN
-122.8873815,42.3008884,CHRISTIAN
-121.7082356,42.2000664,CHRISTIAN
-123.0763334,44.014944,BUDDHIST
-123.3461776,43.207001,CHRISTIAN
-123.0624464,43.7946149,CHRISTIAN
-123.0506182,44.0654123,CHRISTIAN
-123.3900062,42.5011453,CHRISTIAN
-122.9403686,42.3012873,BUDDHIST
-121.9310202,37.7718849,CHRISTIAN
-121.8251824,39.7325964,CHRISTIAN
-122.6691105,38.4627893,CHRISTIAN
-121.9035713,37.4679421,CHRISTIAN
-122.1987994,37.80984,CHRISTIAN
-122.673379,38.453644,JUDAIC
-122.1987117,37.80984,CHRISTIAN
-121.647554,36.7079615,CHRISTIAN
-121.6475542,36.7079615,CHRISTIAN
-123.7940276,40.1002907,CHRISTIAN
-122.686223,37.9090001,CHRISTIAN
-122.2682918,38.0364634,CHRISTIAN
-122.098216,37.3599678,CHRISTIAN
-121.8738233,37.2289921,CHRISTIAN
-121.7940892,37.6825241,CHRISTIAN
-123.090034,44.0451703,CHRISTIAN
-122.4890486,37.6897143,CHRISTIAN
-122.4695571,37.7305385,CHRISTIAN
-121.6553395,36.6596413,CHRISTIAN
-121.8426136,39.7304618,CHRISTIAN
